ncols		41
nrows		41
xllcorner		0
yllcorner		0
cellsize		1
NODATA_value		-1
25	25	25	25	25	25	25	25	25	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	31	31	31	31	31	31	31	31	31
25	25	25	25	25	25	25	25	25	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	31	31	31	31	31	31	31	31	31
25	25	25	25	25	25	25	25	25	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	31	31	31	31	31	31	31	31	31
25	25	25	25	25	25	25	25	25	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	31	31	31	31	31	31	31	31	31
25	25	25	25	25	25	25	25	25	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	31	31	31	31	31	31	31	31	31
25	25	25	25	25	25	25	25	25	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	31	31	31	31	31	31	31	31	31
25	25	25	25	25	25	25	25	25	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	31	31	31	31	31	31	31	31	31
25	25	25	25	25	25	25	25	25	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	31	31	31	31	31	31	31	31	31
25	25	25	25	25	25	25	25	25	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	31	31	31	31	31	31	31	31	31
48	48	48	48	48	48	48	48	48	26	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	32	32	32	32	32	32	32	32	32
48	48	48	48	48	48	48	48	48	48	26	26	26	26	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	32	32	32	32	32	32	32	32	32	32
48	48	48	48	48	48	48	48	48	48	48	26	9	9	9	9	9	10	10	10	11	11	12	12	12	13	13	13	13	30	32	32	32	32	32	32	32	32	32	32	32
48	48	48	48	48	48	48	48	48	48	48	9	9	9	9	9	9	10	10	10	11	11	12	12	12	13	13	13	13	13	32	32	32	32	32	32	32	32	32	32	32
47	47	47	47	47	47	47	47	47	47	47	9	9	9	9	9	9	10	10	10	11	11	12	12	12	13	13	13	13	13	32	32	32	32	32	32	32	32	32	32	32
47	47	47	47	47	47	47	47	47	47	47	9	9	9	9	9	9	10	10	10	11	11	12	12	12	13	13	13	13	13	33	33	33	33	33	33	33	33	33	33	33
47	47	47	47	47	47	47	47	47	47	47	9	9	9	9	9	9	10	10	10	11	11	12	12	12	13	13	13	13	13	33	33	33	33	33	33	33	33	33	33	33
47	47	47	47	47	47	47	47	47	47	47	9	9	9	9	9	1	1	10	2	2	2	3	3	3	13	13	13	13	13	33	33	33	33	33	33	33	33	33	33	33
47	47	47	47	47	47	47	47	47	47	47	24	24	24	24	24	1	1	1	2	2	2	3	3	3	14	14	14	14	14	33	33	33	33	33	33	33	33	33	33	33
46	46	46	46	46	46	46	46	46	46	46	24	24	24	24	24	1	1	1	2	2	2	3	3	14	14	14	14	14	14	34	34	34	34	34	34	34	34	34	34	34
46	46	46	46	46	46	46	46	46	46	46	23	23	23	23	23	8	8	8	2	2	2	4	4	4	14	14	14	14	14	34	34	34	34	34	34	34	34	34	34	34
46	46	46	46	46	46	46	46	46	46	46	23	23	23	23	23	8	8	8	8	0	4	4	4	4	15	15	15	15	15	34	34	34	34	34	34	34	34	34	34	34
46	46	46	46	46	46	46	46	46	46	46	22	22	22	22	22	8	8	8	6	6	4	4	4	4	15	15	15	15	15	34	34	34	34	34	34	34	34	34	34	34
46	46	46	46	46	46	46	46	46	46	46	22	22	22	22	22	22	7	7	6	6	6	5	5	5	16	16	16	16	16	34	34	34	34	34	34	34	34	34	34	34
45	45	45	45	45	45	45	45	45	45	45	22	22	22	22	22	7	7	7	6	6	6	5	5	5	16	16	16	16	16	35	35	35	35	35	35	35	35	35	35	35
45	45	45	45	45	45	45	45	45	45	45	21	21	21	21	21	7	7	7	6	6	6	18	5	5	16	16	16	16	16	35	35	35	35	35	35	35	35	35	35	35
45	45	45	45	45	45	45	45	45	45	45	21	21	21	21	21	20	20	20	19	19	18	18	18	17	17	17	17	17	17	35	35	35	35	35	35	35	35	35	35	35
45	45	45	45	45	45	45	45	45	45	45	21	21	21	21	21	20	20	20	19	19	18	18	18	17	17	17	17	17	17	35	35	35	35	35	35	35	35	35	35	35
44	44	44	44	44	44	44	44	44	44	44	21	21	21	21	21	20	20	20	19	19	18	18	18	17	17	17	17	17	17	35	35	35	35	35	35	35	35	35	35	35
44	44	44	44	44	44	44	44	44	44	44	21	21	21	21	21	20	20	20	19	19	18	18	18	17	17	17	17	17	17	36	36	36	36	36	36	36	36	36	36	36
44	44	44	44	44	44	44	44	44	44	44	42	21	21	21	21	20	20	20	19	19	18	18	18	17	17	17	17	17	36	36	36	36	36	36	36	36	36	36	36	36
44	44	44	44	44	44	44	44	44	44	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	36	36	36	36	36	36	36	36	36	36	36
44	44	44	44	44	44	44	44	44	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	36	36	36	36	36	36	36	36	36	36
43	43	43	43	43	43	43	43	43	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	38	37	37	37	37	37	37	37	37	37
43	43	43	43	43	43	43	43	43	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	38	37	37	37	37	37	37	37	37	37
43	43	43	43	43	43	43	43	43	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	38	37	37	37	37	37	37	37	37	37
43	43	43	43	43	43	43	43	43	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	38	37	37	37	37	37	37	37	37	37
43	43	43	43	43	43	43	43	43	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	38	37	37	37	37	37	37	37	37	37
43	43	43	43	43	43	43	43	43	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	38	37	37	37	37	37	37	37	37	37
43	43	43	43	43	43	43	43	43	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	38	37	37	37	37	37	37	37	37	37
43	43	43	43	43	43	43	43	43	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	38	37	37	37	37	37	37	37	37	37
43	43	43	43	43	43	43	43	43	42	42	42	42	41	41	41	41	41	40	40	40	40	40	39	39	39	39	38	38	38	38	38	37	37	37	37	37	37	37	37	37
