ncols		21
nrows		21
xllcorner		0
yllcorner		0
cellsize		1
NODATA_value		-1
9	9	9	9	9	9	10	10	10	11	11	11	12	12	12	13	13	13	13	13	13
9	9	9	9	9	9	10	10	10	11	11	11	12	12	12	13	13	13	13	13	13
9	9	9	9	9	9	10	10	10	11	11	11	12	12	12	13	13	13	13	13	13
9	9	9	9	9	9	10	10	10	11	11	11	12	12	12	13	13	13	13	13	13
9	9	9	9	9	9	10	10	10	11	11	11	12	12	12	13	13	13	13	13	13
9	9	9	9	9	9	10	10	10	11	11	11	12	12	12	13	13	13	13	13	13
24	24	24	24	24	24	10	10	1	1	2	2	3	12	12	14	14	14	14	14	14
24	24	24	24	24	24	24	1	1	1	2	2	3	3	14	14	14	14	14	14	14
24	24	24	24	24	24	1	1	1	1	2	2	3	3	3	14	14	14	14	14	14
23	23	23	23	23	23	1	1	1	1	2	2	3	3	3	15	15	15	15	15	15
23	23	23	23	23	23	8	8	8	8	0	4	4	4	4	15	15	15	15	15	15
23	23	23	23	23	23	7	7	7	6	6	4	4	4	4	15	15	15	15	15	15
22	22	22	22	22	22	7	7	7	6	6	5	5	5	5	16	16	16	16	16	16
22	22	22	22	22	22	22	7	7	6	6	5	5	5	16	16	16	16	16	16	16
22	22	22	22	22	22	20	20	7	6	6	5	5	18	16	16	16	16	16	16	16
21	21	21	21	21	21	20	20	20	19	19	19	18	18	18	17	17	17	17	17	17
21	21	21	21	21	21	20	20	20	19	19	19	18	18	18	17	17	17	17	17	17
21	21	21	21	21	21	20	20	20	19	19	19	18	18	18	17	17	17	17	17	17
21	21	21	21	21	21	20	20	20	19	19	19	18	18	18	17	17	17	17	17	17
21	21	21	21	21	21	20	20	20	19	19	19	18	18	18	17	17	17	17	17	17
21	21	21	21	21	21	20	20	20	19	19	19	18	18	18	17	17	17	17	17	17
